kind,supplier_name,supplier_website,orphaned_item,context_other_items
technology-orphan,Direct 3D Printing – Industrial 3D Printing & Manufacturing,https://www.direct3dprinting.com.au/,SLS,ABS; ASA; Cobalt Chrome; PC (Polycarbonate); PEI (Ultem); Titanium
technology-orphan,Direct 3D Printing – Industrial 3D Printing & Manufacturing,https://www.direct3dprinting.com.au/,SLA,ABS; ASA; Cobalt Chrome; PC (Polycarbonate); PEI (Ultem); Titanium
technology-orphan,Direct 3D Printing – Industrial 3D Printing & Manufacturing,https://www.direct3dprinting.com.au/,SAF,ABS; ASA; Cobalt Chrome; PC (Polycarbonate); PEI (Ultem); Titanium
technology-orphan,Direct 3D Printing – Industrial 3D Printing & Manufacturing,https://www.direct3dprinting.com.au/,Material Jetting,ABS; ASA; Cobalt Chrome; PC (Polycarbonate); PEI (Ultem); Titanium
technology-orphan,Materialise OnSite,https://manufacturing.materialise.com,SLA,TPU
technology-orphan,Materialise OnSite,https://manufacturing.materialise.com,SLM,TPU
technology-orphan,Materialise OnSite,https://manufacturing.materialise.com,Material Jetting,TPU
material-orphan,i.materialise – Online 3D Printing Service,https://i.materialise.com,Brass,FDM; MJF; SLA; SLS
material-orphan,i.materialise – Online 3D Printing Service,https://i.materialise.com,Aluminum AlSi10Mg,FDM; MJF; SLA; SLS
material-orphan,i.materialise – Online 3D Printing Service,https://i.materialise.com,Inconel 718,FDM; MJF; SLA; SLS
technology-orphan,i.materialise – Online 3D Printing Service,https://i.materialise.com,SLA,ABS; Aluminum AlSi10Mg; Brass; Inconel 718; TPU; Titanium
material-orphan,Machinified – Additive Manufacturing & Digital Production Pl,https://www.machinified.com/,Aluminum 6061,DLP; MJF; SLA; SLS
material-orphan,Machinified – Additive Manufacturing & Digital Production Pl,https://www.machinified.com/,Aluminum 7075,DLP; MJF; SLA; SLS
material-orphan,Machinified – Additive Manufacturing & Digital Production Pl,https://www.machinified.com/,Brass,DLP; MJF; SLA; SLS
material-orphan,Machinified – Additive Manufacturing & Digital Production Pl,https://www.machinified.com/,Bronze,DLP; MJF; SLA; SLS
material-orphan,Machinified – Additive Manufacturing & Digital Production Pl,https://www.machinified.com/,Copper,DLP; MJF; SLA; SLS
material-orphan,Machinified – Additive Manufacturing & Digital Production Pl,https://www.machinified.com/,ABS,DLP; MJF; SLA; SLS
material-orphan,Machinified – Additive Manufacturing & Digital Production Pl,https://www.machinified.com/,PC (Polycarbonate),DLP; MJF; SLA; SLS
technology-orphan,Machinified – Additive Manufacturing & Digital Production Pl,https://www.machinified.com/,SLA,ABS; Aluminum 6061; Aluminum 7075; Brass; Bronze; Copper; PC (Polycarbonate); PEEK
technology-orphan,Machinified – Additive Manufacturing & Digital Production Pl,https://www.machinified.com/,DLP,ABS; Aluminum 6061; Aluminum 7075; Brass; Bronze; Copper; PC (Polycarbonate); PEEK
technology-orphan,Machinified – Additive Manufacturing & Digital Production Pl,https://www.machinified.com/,MJF,ABS; Aluminum 6061; Aluminum 7075; Brass; Bronze; Copper; PC (Polycarbonate); PEEK
technology-orphan,Proto3000,https://proto3000.com,SLS,Ceramic
technology-orphan,Proto3000,https://proto3000.com,Binder Jetting,Ceramic
technology-orphan,Proto3000,https://proto3000.com,MJF,Ceramic
technology-orphan,Proto3000,https://proto3000.com,SLM,Ceramic
material-orphan,HLH Prototypes,https://www.hlhprototypes.com,Carbon Fiber,CNC Machining; Die Casting; Injection Molding; Rapid Tooling; SLA; SLS
technology-orphan,HLH Prototypes,https://www.hlhprototypes.com,SLA,Carbon Fiber
technology-orphan,HLH Prototypes,https://www.hlhprototypes.com,SLS,Carbon Fiber
technology-orphan,HLH Prototypes,https://www.hlhprototypes.com,CNC Machining,Carbon Fiber
technology-orphan,HLH Prototypes,https://www.hlhprototypes.com,Injection Molding,Carbon Fiber
technology-orphan,HLH Prototypes,https://www.hlhprototypes.com,Die Casting,Carbon Fiber
material-orphan,in3Dtec,https://in3dtec.com,Carbon Fiber,Binder Jetting; DLP; FDM; MJF; SLA; SLM; SLS
material-orphan,in3Dtec,https://in3dtec.com,Aluminum 6061,Binder Jetting; DLP; FDM; MJF; SLA; SLM; SLS
technology-orphan,JLC3DP – Online 3D Printing Service,https://jlc3dp.com,SLA,ABS; ASA; PA11 Nylon; PA12 Nylon; TPU
technology-orphan,JLC3DP – Online 3D Printing Service,https://jlc3dp.com,SLM,ABS; ASA; PA11 Nylon; PA12 Nylon; TPU
technology-orphan,JLC3DP – Online 3D Printing Service,https://jlc3dp.com,Binder Jetting,ABS; ASA; PA11 Nylon; PA12 Nylon; TPU
technology-orphan,Prototal Denmark – Industrial 3D Printing Service,https://prototal.dk,SLA,ABS; Aluminum AlSi10Mg; TPU
technology-orphan,Prototal Denmark – Industrial 3D Printing Service,https://prototal.dk,SAF,ABS; Aluminum AlSi10Mg; TPU
technology-orphan,Prototal Denmark – Industrial 3D Printing Service,https://prototal.dk,Material Jetting,ABS; Aluminum AlSi10Mg; TPU
technology-orphan,PROTIQ – Digital Manufacturing Marketplace & 3D Printing Sol,https://www.protiq.com/,SLS,Ceramic; Copper
technology-orphan,PROTIQ – Digital Manufacturing Marketplace & 3D Printing Sol,https://www.protiq.com/,MJF,Ceramic; Copper
technology-orphan,PROTIQ – Digital Manufacturing Marketplace & 3D Printing Sol,https://www.protiq.com/,Material Jetting,Ceramic; Copper
material-orphan,Robot faber,https://robotfaber.com,Ceramic,FDM
technology-orphan,Robot faber,https://robotfaber.com,FDM,Ceramic
material-orphan,BigRep Partlab,https://bigrep.com,Carbon Fiber,FDM
technology-orphan,toolcraft AG,https://www.toolcraft.de/en/,SLM,Titanium; Tool Steel
technology-orphan,toolcraft AG,https://www.toolcraft.de/en/,Injection Molding,Titanium; Tool Steel
material-orphan,EXL PROTOTYPES CO LTD,http://www.exlprototypes.com,ABS,Material Jetting; SLA; SLM; SLS
technology-orphan,EXL PROTOTYPES CO LTD,http://www.exlprototypes.com,SLA,ABS
technology-orphan,EXL PROTOTYPES CO LTD,http://www.exlprototypes.com,SLS,ABS
technology-orphan,EXL PROTOTYPES CO LTD,http://www.exlprototypes.com,Material Jetting,ABS
technology-orphan,EXL PROTOTYPES CO LTD,http://www.exlprototypes.com,SLM,ABS
material-orphan,Treddy,https://treddy.it,Carbon Fiber,MJF; SLA
